# Force and moment coefficients
# dragDir       : (9.98701636e-01 5.09415558e-02 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-5.09415558e-02 9.98701636e-01 0.00000000e+00)
# rollAxis      : (9.98701636e-01 5.09415558e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-5.09415558e-02 9.98701636e-01 0.00000000e+00)
# magUInf       : 8.57831569e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.001200048     	2.75918376e-01	1.36111401e-01	1.39806975e-01	3.69557440e-03	1.95943618e-02	-1.58987874e-02	1.77465746e-02	-1.84778720e-03	1.37959188e-01	2.51934889e-20	1.37959188e-01	-1.37959188e-01
0.0026401747    	5.79942430e-01	2.86684042e-01	2.93258388e-01	6.57434670e-03	3.93963432e-02	-3.28219965e-02	3.61091699e-02	-3.28717335e-03	2.89971215e-01	1.26784818e-20	2.89971215e-01	-2.89971215e-01
0.0043683268    	9.01443934e-01	4.46349151e-01	4.55094783e-01	8.74563273e-03	5.90285511e-02	-5.02829183e-02	5.46557347e-02	-4.37281636e-03	4.50721967e-01	1.02589681e-22	4.50721967e-01	-4.50721967e-01
0.0064421093    	1.22477895e+00	6.07219399e-01	6.17559550e-01	1.03401514e-02	7.78912241e-02	-6.75510726e-02	7.27211483e-02	-5.17007572e-03	6.12389474e-01	-1.16823214e-20	6.12389474e-01	-6.12389474e-01
0.0089305451    	1.53292386e+00	7.60856562e-01	7.72067298e-01	1.12107356e-02	9.48941285e-02	-8.36833929e-02	8.92887607e-02	-5.60536780e-03	7.66461930e-01	-2.17456944e-20	7.66461930e-01	-7.66461930e-01
0.011912954     	1.80592105e+00	8.97440804e-01	9.08480247e-01	1.10394438e-02	1.08535026e-01	-9.74955818e-02	1.03015304e-01	-5.51972191e-03	9.02960525e-01	-2.94154899e-20	9.02960525e-01	-9.02960525e-01
0.01538949      	2.01292364e+00	1.00066683e+00	1.01225681e+00	1.15899729e-02	1.19908379e-01	-1.08318406e-01	1.14113393e-01	-5.79498643e-03	1.00646182e+00	-3.47769335e-20	1.00646182e+00	-1.00646182e+00
0.019361093     	2.14083824e+00	1.06537657e+00	1.07546168e+00	1.00851088e-02	1.24168742e-01	-1.14083633e-01	1.19126188e-01	-5.04255442e-03	1.07041912e+00	-3.73471308e-20	1.07041912e+00	-1.07041912e+00
0.023828702     	2.18776645e+00	1.08920838e+00	1.09855807e+00	9.34969725e-03	1.25457100e-01	-1.16107403e-01	1.20782251e-01	-4.67484862e-03	1.09388323e+00	-3.80507298e-20	1.09388323e+00	-1.09388323e+00
0.02879939      	2.16912933e+00	1.08016888e+00	1.08896045e+00	8.79157227e-03	1.23671351e-01	-1.14879779e-01	1.19275565e-01	-4.39578614e-03	1.08456467e+00	-3.78521695e-20	1.08456467e+00	-1.08456467e+00
0.033952465     	2.11114325e+00	1.05227599e+00	1.05886726e+00	6.59127002e-03	1.17420307e-01	-1.10829037e-01	1.14124672e-01	-3.29563501e-03	1.05557162e+00	-3.66903030e-20	1.05557162e+00	-1.05557162e+00
0.039279054     	2.01514833e+00	1.00697587e+00	1.00817246e+00	1.19658475e-03	1.04445811e-01	-1.03249226e-01	1.03847518e-01	-5.98292374e-04	1.00757417e+00	-3.40538130e-20	1.00757417e+00	-1.00757417e+00
0.044788302     	1.86845287e+00	9.37863916e-01	9.30588952e-01	-7.27496396e-03	8.42775634e-02	-9.15525274e-02	8.79150454e-02	3.63748198e-03	9.34226434e-01	-2.92411549e-20	9.34226434e-01	-9.34226434e-01
